Dias,RF,XGBoost,Ensemble,Δ_ens_vs_rf
30,0.7365,0.7698,0.7842,0.0477
35,0.7142,0.7844,0.7457,0.0315
40,0.7535,0.6984,0.7531,-0.0004
45,0.6422,0.7431,0.6906,0.0484
50,0.77,0.74,0.7826,0.0126
55,0.6877,0.7259,0.7112,0.0235
60,0.6038,0.6553,0.6352,0.0314
65,0.5834,0.6287,0.6122,0.0288
70,0.581,0.6266,0.6051,0.024
75,0.5862,0.6423,0.6305,0.0442
80,0.5706,0.5957,0.5857,0.0151
85,0.609,0.586,0.6196,0.0106
90,0.607,0.6413,0.6404,0.0333
