id_equipamento,idade_dias,num_manutencoes,intervalo_medio_manut,num_falhas_historico,taxa_falhas_ano,minutos_falha_historico,taxa_minutos_falha_ano,dias_desde_ultima_manut,limite_potencia,utilizacao_media,utilizacao_maxima,utilizacao_minima,utilizacao_desvio,qtd_sobrecargas,dias_com_dados_util,vai_falhar
92318A20-6162-48D2-8FF9-E096F80EC4CA,4422,4,22.666666666666668,1,0.08254183627317956,5,0.41270918136589774,74,301.0,61.92089676022659,174.1286,0.0,33.085245315176756,0,1049,0
9F234378-BB89-424B-9F5F-F8F3CA3AA034,2534,1,0.0,0,0.0,0,0.0,130,250.0,62.04745067386159,152.0,0.0,19.58502399686437,0,1049,0
472BAB2C-F259-4641-8F8E-46C47F0CB1CF,1415,3,220.0,3,0.7738515901060071,680,175.40636042402826,29,302.0,71.18738608505306,225.0,0.0,16.391812178749998,0,1049,0
83150C52-35D0-44C9-9112-C284CF0A5784,3917,3,13.0,1,0.09318355884605564,67,6.243298442685728,86,831.0,107.57249633164732,227.9445,0.0,22.008016686600016,0,1049,0
34C2D473-F269-45FE-8525-7DA4878EE20B,137,1,0.0,0,0.0,0,0.0,106,678.0,24.643053184750663,600.23,0.0,32.88743430473346,0,294,0
BAE54530-1896-49C6-897D-732E3D6A4D95,3714,2,677.0,2,0.19655358104469575,261,25.650242326332798,106,80.0,22.25712405955041,129.6846,0.0,3.997162427564455,5,1049,0
FF9ABA08-F1C2-4CDE-88E4-71135C87F91B,10082,2,521.0,1,0.03620313429875025,109,3.9461416385637773,99,416.0,150.9185537107533,281.0807,0.0,41.89161169321438,0,1049,0
4C0BDC14-DD24-425C-BBFD-65BCEB0AC073,3492,2,0.0,1,0.10452462772050401,208,21.741122565864835,88,452.0,114.23016329218459,242.8603,0.02987746,19.6333877306797,0,1049,0
F32771BC-4602-4639-A49B-CF672F1FC57A,4479,2,196.0,0,0.0,0,0.0,67,804.0,187.7950482146811,397.5,-29.99943,31.829744838509217,0,1049,0
75328D3F-EE47-4DFD-A2DE-AF4860737775,1431,2,1.0,2,0.5101327742837176,348,88.76310272536688,53,90.0,2.0496571778692054,323.1117,-33.58037,2.119352253936333,5,1049,0
E81CD061-8C64-41ED-AF9E-C14F199512D7,5457,2,0.0,2,0.13377313542239325,30,2.006597031335899,34,804.0,135.93292385816093,439.765,0.0,43.325686812843,0,1049,0
575C9142-8228-4CC8-907A-34C0AA53DFF2,654,2,538.0,7,3.9067278287461775,960,535.7798165137615,25,452.0,99.3512611329499,292.0,-704.6049,49.562765433413155,0,785,0
36C742A4-0795-4B0F-A7E1-87D9DCA1F8C9,8476,1,0.0,0,0.0,0,0.0,23,251.0,71.76240598131947,361.3678,0.0,13.292202307786097,2,1049,0
1CAC6153-2470-47FA-A448-30C82F04D4C4,1173,3,95.5,0,0.0,0,0.0,13,452.0,104.7827492612382,238.2195,0.0,29.343046292103075,0,1049,0
976E238F-CDA8-440B-BC0F-90D22D4ECBA1,10154,2,1.0,1,0.03594642505416585,7,0.25162497537916095,200,156.0,26.86609807977779,239.01,0.0,6.436443604932199,5,1049,0
3DEE382B-B84C-4B12-88B7-0C7584E1BD7A,12736,3,248.0,2,0.0573178391959799,411,11.77881595477387,221,538.0,83.9563252876027,164.428,0.0,24.555542158538508,0,1049,0
